Dependency=Clothes Washer Presence	Dependency=Usage Level	Option=None	Option=Standard, 80% Usage	Option=Standard, 100% Usage	Option=Standard, 120% Usage	Option=EnergyStar, 80% Usage	Option=EnergyStar, 100% Usage	Option=EnergyStar, 120% Usage	sampling_probability
None	Low	1	0	0	0	0	0	0	0.0480931
None	Medium	1	0	0	0	0	0	0	0.0961861
None	High	1	0	0	0	0	0	0	0.0480931
None	Average	1	0	0	0	0	0	0	0
Yes	Low	0	0.35	0	0	0.65	0	0	0.201907
Yes	Medium	0	0	0.35	0	0	0.65	0	0.403814
Yes	High	0	0	0	0.35	0	0	0.65	0.201907
Yes	Average	0	0	0.35	0	0	0.65	0	0
# Created by: manually created
# Description: Presence, rated efficiency, and usage level of the clothes washer.
# Source: U.S. EIA 2009 Residential Energy Consumption Survey (RECS) microdata.