Model,Vintage,Area,Material,NcellSer,NcellPar,Isco,Voco,Impo,Vmpo,aIsc,aImp,C0,C1,BVoco,mBVoc,BVmpo,mBVmp,DiodeFactor,C2,C3,A0,A1,A2,A3,A4,B0,B1,B2,B3,B4,B5,dTc,fd,a,b,C4,C5,Ixo,Ixxo,C6,C7,,
Generic,1999 (E),0.822,2-a-Si,71,1,0.787,101,0.616,71,0.00084,0.00147,1.0314,-0.0314,-0.46,0,-0.332,0,3.443,-0.008904,-3.72523,0.93257,0.10675,-0.048191,0.0049997,-0.0001588,1,-0.002438,0.0003103,-0.00001246,2.11E-07,-1.36E-09,2,1,-3.47,-0.0594,1.0122,-0.0122,0.722,0.416,1.0877,-0.0877,,Solarex MST-43MV
Generic,1999 (E),1.01,3-a-Si,11,2,4.8,23.8,3.88,16.5,0.00085,0.0012,1.121,-0.121,-0.098,0,-0.052,0,3.51,-1.24058,-3.91126,1.047,0.00082115,-0.0259,0.0031736,-0.00011026,1,-0.00502,0.0005842,-0.000023,3.83E-07,-2.31E-09,3,1,-3.582,-0.113,1.059,-0.059,4.5,2.75,1.188,-0.188,,USSC UniSolar US-64
Generic,2003 (E),0.72,CdTe,116,1,1.08,85,0.87,58,0.000299,-0.000639,1.018,-0.018,-0.156,0,-0.15,0,1.06,-0.75168,-13.7986,0.921,0.07954,-0.02164,0.001991,-0.00007188,1,-0.002438,0.0003103,-0.00001246,2.11E-07,-1.36E-09,3,1,-3.47,-0.0594,1.014,-0.014,1,0.55,1.131,-0.131,,First Solar FS-50D
Generic,1999 (E),0.245,CIS,42,1,1.48,21,1.29,15.6,-0.000013,-0.00045,0.972,0.028,-0.0906,0,-0.0744,0,1.752,0.50877,-2.954,0.921,0.071815,-0.014619,0.00125,-0.000037406,1,-0.002438,0.0003103,-0.00001246,2.11E-07,-1.36E-09,3,1,-3.47,-0.0594,0.982,0.018,1.405,0.899,1.045,-0.045,,Siemens ST20
Generic,2001 (E),1.317,c-Si,72,1,4.8,43.4,4.4,34,0.00026,-0.00052,1.0206,-0.0206,-0.17,0,-0.17,0,1.279,-0.14909,-8.95853,0.938,0.054228,-0.0099032,0.00072969,-0.000019074,1,-0.002438,0.0003103,-0.00001246,2.11E-07,-1.36E-09,3,1,-3.56,-0.075,0.998,0.002,4.75,3.14,1.159,-0.159,,Siemens SP150
Generic,1999 (E),2.427,EFG mc-Si,36,6,17.3,20.7,15.8,16.8,0.00092,0.00036,0.994,0.006,-0.0756,0,-0.0793,0,1.288,0.006258,-7.69008,0.936,0.053645,-0.0079402,0.00052228,-0.000013142,1,-0.002438,0.0003103,-0.00001246,2.11E-07,-1.36E-09,2,1,-3.47,-0.0594,0.9843,0.0157,17.1,11.3,1.127,-0.127,,ASE-300-DGF/17 (265)
Generic,2004 (E),1.15,HIT-Si,96,1,3.65,66.4,3.33,54,0.000368,-0.000118,0.9873,0.0127,-0.1888,0,-0.1751,0,1.17,0.012965,-9.842688,0.92619,0.062356,-0.010119,0.00067031,-0.000016221,1,-0.002438,0.0003103,-0.00001246,2.11E-07,-1.36E-09,3,1,-3.56,-0.075,0.9916,0.0084,3.646,2.46,1.0932,-0.0932,,Sanyo HIP-J54BA2 (180W)
Generic,1999 (E),0.732,mc-Si,36,1,5.27,21.2,4.85,17.1,0.000512,-0.000148,0.991,0.009,-0.0808,0,-0.0822,0,1.34,0.12239,-7.07424,0.913,0.079168,-0.015975,0.0013057,-0.000037247,1,-0.002438,0.0003103,-0.00001246,2.11E-07,-1.36E-09,3,1,-3.56,-0.075,0.9856,0.0144,5.135,3.558,1.116,-0.116,,Solarex MSX-83
Generic,2002 (E),1.72,Si-Film,36,1,10.1,19.4,8.9,15.7,0.00079,0.00003,0.924,0.076,-0.091,0,-0.088,0,1.82,-0.04496,-9.6023,0.928,0.073144,-0.019427,0.0017513,-0.000051288,1,-0.002438,0.0003103,-0.00001246,2.11E-07,-1.36E-09,3,1,-3.56,-0.075,0.963,0.037,9.91,5.84,1.082,-0.082,,AstroPower APX-140
Solarex MST-43LV,1999 (E),0.822,2-a-Si,16,4,3.53,22.27,2.57,16.67,0.00066,0.00095,1.0227,-0.0227,-0.105,0,-0.087,0,3.548,-0.220307,-4.05952,0.8937,0.14164,-0.055389,0.0056131,-0.000177,1,-0.002438,0.0003103,-0.00001246,2.11E-07,-1.36E-09,2,1,-3.47,-0.0594,1.0124,-0.0124,3.05,1.77,1.1185,-0.1185,,
Solarex MST-43MV,1999 (E),0.822,2-a-Si,71,1,0.787,101,0.616,71,0.00084,0.00147,1.0314,-0.0314,-0.46,0,-0.332,0,3.443,-0.008904,-3.72523,0.93257,0.10675,-0.048191,0.0049997,-0.0001588,1,-0.002438,0.0003103,-0.00001246,2.11E-07,-1.36E-09,2,1,-3.47,-0.0594,1.0122,-0.0122,0.722,0.416,1.0877,-0.0877,,
USSC UniSolar US-32,1999 (E),0.525,3-a-Si,11,1,2.4,23.8,1.94,16.5,0.00085,0.0012,1.096,-0.096,-0.098,0,-0.052,0,3.77,-1.14162,-2.89115,1.047,0.00082115,-0.0259,0.0031736,-0.00011026,1,-0.00502,0.0005842,-0.000023,3.83E-07,-2.31E-09,3,1,-3.58,-0.113,1.044,-0.044,2.22,1.36,1.13,-0.13,,
USSC UniSolar US-42,1999 (E),0.688,3-a-Si,11,2,3.17,23.8,2.54,16.5,0.00085,0.0012,1.121,-0.121,-0.098,0,-0.052,0,3.51,-1.24058,-3.91126,1.047,0.00082115,-0.0259,0.0031736,-0.00011026,1,-0.00502,0.0005842,-0.000023,3.83E-07,-2.31E-09,3,1,-3.582,-0.113,1.059,-0.059,2.93,1.76,1.188,-0.188,,
USSC UniSolar US-64,1999 (E),1.01,3-a-Si,11,2,4.8,23.8,3.88,16.5,0.00085,0.0012,1.121,-0.121,-0.098,0,-0.052,0,3.51,-1.24058,-3.91126,1.047,0.00082115,-0.0259,0.0031736,-0.00011026,1,-0.00502,0.0005842,-0.000023,3.83E-07,-2.31E-09,3,1,-3.582,-0.113,1.059,-0.059,4.5,2.75,1.188,-0.188,,
BP Solar BP980,2001 (E),0.945,CdTe,57,1,3,45.2,2.48,32.3,0.00035,0.00033,0.963,0.037,-0.152,0,-0.125,0,2.2,0.04708,-5.91999,0.9595,0.04319,-0.012002,0.00066263,-9.86E-06,1,-0.002438,0.0003103,-0.00001246,2.11E-07,-1.36E-09,2,1,-3.47,-0.0594,0.983,0.017,2.78,1.74,1.09,-0.09
BP Solar BP990,2001 (E),0.945,CdTe,57,1,3.03,46.4,2.59,34.8,0.00035,0.00033,0.963,0.037,-0.152,0,-0.125,0,2.2,0.04708,-5.91999,0.9595,0.04319,-0.012002,0.00066263,-9.86E-06,1,-0.002438,0.0003103,-0.00001246,2.11E-07,-1.36E-09,2,1,-3.47,-0.0594,0.983,0.017,2.84,1.89,1.09,-0.09
First Solar FS-50D,2003 (E),0.72,CdTe,116,1,1.08,85,0.87,58,0.000299,-0.000639,1.018,-0.018,-0.156,0,-0.15,0,1.06,-0.75168,-13.7986,0.921,0.07954,-0.02164,0.001991,-0.00007188,1,-0.002438,0.0003103,-0.00001246,2.11E-07,-1.36E-09,3,1,-3.47,-0.0594,1.014,-0.014,1,0.55,1.131,-0.131
Siemens ST20,1999 (E),0.245,CIS,42,1,1.48,21,1.29,15.6,-0.000013,-0.00045,0.972,0.028,-0.0906,0,-0.0744,0,1.752,0.50877,-2.954,0.921,0.071815,-0.014619,0.00125,-0.000037406,1,-0.002438,0.0003103,-0.00001246,2.11E-07,-1.36E-09,3,1,-3.47,-0.0594,0.982,0.018,1.405,0.899,1.045,-0.045
Siemens ST40,1999 (E),0.424,CIS,42,1,2.59,22.2,2.41,16.6,-0.000013,-0.00045,0.972,0.028,-0.0906,0,-0.0744,0,1.752,0.50877,-2.954,0.921,0.071815,-0.014619,0.00125,-0.000037406,1,-0.002438,0.0003103,-0.00001246,2.11E-07,-1.36E-09,3,1,-3.47,-0.0594,0.982,0.018,2.55,1.71,1.045,-0.045
AstroPower AP-100,2000 (E),0.974,c-Si,36,1,7.2,20.1,6.2,16.1,0.00033,-0.00042,0.997,0.003,-0.084,0,-0.084,0,1.404,-0.17754,-11.06521,0.918,0.068713,-0.010438,0.00072504,-0.000020182,1,-0.002438,0.0003103,-0.00001246,2.11E-07,-1.36E-09,3,1,-3.56,-0.075,0.984,0.016,7,4.32,1.123,-0.123
AstroPower AP-110,1999 (E),0.974,c-Si,36,1,7.5,20.7,6.6,16.7,0.00033,-0.00042,0.997,0.003,-0.084,0,-0.084,0,1.404,-0.17754,-11.06521,0.918,0.068713,-0.010438,0.00072504,-0.000020182,1,-0.002438,0.0003103,-0.00001246,2.11E-07,-1.36E-09,3,1,-3.56,-0.075,0.984,0.016,7.3,4.6,1.123,-0.123
AstroPower AP-120,1999 (E),0.974,c-Si,36,1,7.7,21,7.1,16.9,0.00032,-0.00047,0.997,0.003,-0.084,0,-0.084,0,1.404,-0.17754,-11.06521,0.918,0.068713,-0.010438,0.00072504,-0.000020182,1,-0.002438,0.0003103,-0.00001246,2.11E-07,-1.36E-09,3,1,-3.56,-0.075,0.984,0.016,7.65,5,1.123,-0.123
AstroPower AP-130,2002 (E),1.12,c-Si,42,1,7.6,24.6,6.9,18.9,0.000201,-0.000423,0.995,0.005,-0.0954,0,-0.0984,0,1.549,-0.0665,-11.4245,0.918,0.068713,-0.010438,0.00072504,-0.000020182,1,-0.002438,0.0003103,-0.00001246,2.11E-07,-1.36E-09,3,1,-3.56,-0.075,0.989,0.011,7.51,4.9,1.118,-0.118
AstroPower AP-50,2000 (E),0.567,c-Si,40,1,3.3,21.5,3,16.7,0.00033,-0.00042,0.997,0.003,-0.093,0,-0.093,0,1.404,-0.17754,-11.06521,0.918,0.068713,-0.010438,0.00072504,-0.000020182,1,-0.002438,0.0003103,-0.00001246,2.11E-07,-1.36E-09,3,1,-3.56,-0.075,0.984,0.016,3.25,2.15,1.123,-0.123
AstroPower AP-65,1999 (E),0.631,c-Si,36,1,4.6,20.5,4,16.3,0.000077,-0.00086,0.997,0.003,-0.085,0,-0.083,0,1.404,-0.17754,-11.06521,0.918,0.068713,-0.010438,0.00072504,-0.000020182,1,-0.002438,0.0003103,-0.00001246,2.11E-07,-1.36E-09,3,1,-3.56,-0.075,0.984,0.016,4.47,2.78,1.123,-0.123
AstroPower AP-75,1999 (E),0.631,c-Si,36,1,4.8,21,4.4,17,0.00015,-0.00061,0.997,0.003,-0.085,0,-0.083,0,1.404,-0.17754,-11.06521,0.918,0.068713,-0.010438,0.00072504,-0.000020182,1,-0.002438,0.0003103,-0.00001246,2.11E-07,-1.36E-09,3,1,-3.56,-0.075,0.984,0.016,4.75,3.1,1.123,-0.123
BP Solar BP2140S,2000 (E),1.26,c-Si,72,1,4.48,42.8,4.16,34,0.0004,-0.0005,0.991,0.009,-0.17,0,-0.17,0,1.38,0.091575,-8.79359,0.9408,0.054204,-0.011043,0.00080875,-0.00002097,1,-0.002438,0.0003103,-0.00001246,2.11E-07,-1.36E-09,3,1,-3.56,-0.075,0.993,0.007,4.41,3,1.105,-0.105
BP Solar BP2150S,2000 (E),1.26,c-Si,72,1,4.75,42.8,4.45,34,0.0004,-0.0005,0.991,0.009,-0.17,0,-0.17,0,1.38,0.091575,-8.79359,0.9408,0.054204,-0.011043,0.00080875,-0.00002097,1,-0.002438,0.0003103,-0.00001246,2.11E-07,-1.36E-09,3,1,-3.56,-0.075,0.993,0.007,4.71,3.2,1.105,-0.105
BP Solar BP270,2000 (E),0.63,c-Si,36,1,4.48,21.4,4.16,17,0.0004,-0.0005,0.991,0.009,-0.085,0,-0.085,0,1.38,0.091575,-8.79359,0.9408,0.054204,-0.011043,0.00080875,-0.00002097,1,-0.002438,0.0003103,-0.00001246,2.11E-07,-1.36E-09,3,1,-3.56,-0.075,0.993,0.007,4.4,3.02,1.105,-0.105
BP Solar BP275,2000 (E),0.63,c-Si,36,1,4.75,21.4,4.45,17,0.0004,-0.0005,0.991,0.009,-0.085,0,-0.085,0,1.38,0.091575,-8.79359,0.9408,0.054204,-0.011043,0.00080875,-0.00002097,1,-0.002438,0.0003103,-0.00001246,2.11E-07,-1.36E-09,3,1,-3.56,-0.075,0.993,0.007,4.7,3.22,1.105,-0.105
BP Solar BP5130,2000 (E),1.09,c-Si,60,1,4.8,36.3,4.5,29.8,0.00008,-0.0005,0.991,0.009,-0.156,0,-0.158,0,1.38,0.091575,-8.79359,0.9408,0.054204,-0.011043,0.00080875,-0.00002097,1,-0.002438,0.0003103,-0.00001246,2.11E-07,-1.36E-09,3,1,-3.56,-0.075,0.993,0.007,4.76,3.22,1.105,-0.105
BP Solar BP580,2002 (E),0.646,c-Si,36,1,4.7,22,4.44,18,0.00047,-0.00008,0.996,0.004,-0.088,0,-0.092,0,1.241,0.40638,-3.98177,0.9439,0.052256,-0.011388,0.00086866,-0.000022491,1,-0.002438,0.0003103,-0.00001246,2.11E-07,-1.36E-09,3,1,-3.56,-0.075,0.991,0.009,4.65,3.3,1.097,-0.097
BP Solar BP585,2002 (E),0.646,c-Si,36,1,5,22.1,4.72,18,0.00047,-0.00008,0.996,0.004,-0.088,0,-0.092,0,1.241,0.40638,-3.98177,0.9439,0.052256,-0.011388,0.00086866,-0.000022491,1,-0.002438,0.0003103,-0.00001246,2.11E-07,-1.36E-09,3,1,-3.56,-0.075,0.991,0.009,4.95,3.5,1.097,-0.097
Shell SM50-H,2002 (E),0.401,c-Si,33,1,3.4,19.8,3.15,15.9,0.00055,-0.00008,1.02,-0.02,-0.0798,0,-0.0816,0,1.086,0.08818,-8.434,0.938,0.054228,-0.0099032,0.00072969,-0.000019074,1,-0.002438,0.0003103,-0.00001246,2.11E-07,-1.36E-09,3,1,-3.56,-0.075,0.998,0.002,3.36,2.31,1.122,-0.122
Shell SM55,2002 (E),0.425,c-Si,36,1,3.4,21.7,3.15,17.4,0.00055,-0.00008,1.02,-0.02,-0.087,0,-0.089,0,1.086,0.08818,-8.434,0.938,0.054228,-0.0099032,0.00072969,-0.000019074,1,-0.002438,0.0003103,-0.00001246,2.11E-07,-1.36E-09,3,1,-3.56,-0.075,0.998,0.002,3.36,2.31,1.122,-0.122
Shell SP140,2002 (E),1.32,c-Si,72,1,4.7,42.8,4.24,33,0.00007,-0.000552,1.002,-0.002,-0.174,0,-0.178,0,1.289,0.004416,-7.5891,0.9377,0.055704,-0.01074,0.00074647,-0.000017964,1,-0.002438,0.0003103,-0.00001246,2.11E-07,-1.36E-09,3,1,-3.56,-0.075,0.981,0.019,4.61,3.03,1.143,-0.143
Shell SP150,2002 (E),1.32,c-Si,72,1,4.8,43.4,4.41,34,0.00007,-0.000552,1.002,-0.002,-0.174,0,-0.178,0,1.289,0.004416,-7.5891,0.9377,0.055704,-0.01074,0.00074647,-0.000017964,1,-0.002438,0.0003103,-0.00001246,2.11E-07,-1.36E-09,3,1,-3.56,-0.075,0.981,0.019,4.74,3.18,1.143,-0.143
Siemens SM50,1999 (E),0.425,c-Si,36,1,3.4,21.4,3.05,16.6,0.00055,-0.00008,1.02,-0.02,-0.087,0,-0.089,0,1.086,0.08818,-8.434,0.938,0.054228,-0.0099032,0.00072969,-0.000019074,1,-0.002438,0.0003103,-0.00001246,2.11E-07,-1.36E-09,3,1,-3.56,-0.075,0.998,0.002,3.32,2.21,1.122,-0.122
Siemens SM50/H,1999 (E),0.401,c-Si,33,1,3.35,19.8,3.15,15.9,0.00055,-0.00008,1.02,-0.02,-0.0798,0,-0.0816,0,1.086,0.08818,-8.434,0.938,0.054228,-0.0099032,0.00072969,-0.000019074,1,-0.002438,0.0003103,-0.00001246,2.11E-07,-1.36E-09,3,1,-3.56,-0.075,0.998,0.002,3.345,2.36,1.122,-0.122
Siemens SM55,1999 (E),0.425,c-Si,36,1,3.45,21.7,3.15,17.4,0.00055,-0.00008,1.02,-0.02,-0.087,0,-0.089,0,1.086,0.08818,-8.434,0.938,0.054228,-0.0099032,0.00072969,-0.000019074,1,-0.002438,0.0003103,-0.00001246,2.11E-07,-1.36E-09,3,1,-3.56,-0.075,0.998,0.002,3.4,2.29,1.122,-0.122
Siemens SP130,2001 (E),1.317,c-Si,72,1,4.5,42.8,3.95,33,0.00026,-0.00052,1.0206,-0.0206,-0.17,0,-0.17,0,1.279,-0.14909,-8.95853,0.938,0.054228,-0.0099032,0.00072969,-0.000019074,1,-0.002438,0.0003103,-0.00001246,2.11E-07,-1.36E-09,3,1,-3.56,-0.075,0.998,0.002,4.42,2.73,1.159,-0.159
Siemens SP140,2001 (E),1.317,c-Si,72,1,4.7,42.8,4.25,33,0.00026,-0.00052,1.0206,-0.0206,-0.17,0,-0.17,0,1.279,-0.14909,-8.95853,0.938,0.054228,-0.0099032,0.00072969,-0.000019074,1,-0.002438,0.0003103,-0.00001246,2.11E-07,-1.36E-09,3,1,-3.56,-0.075,0.998,0.002,4.66,2.99,1.159,-0.159
Siemens SP150,2001 (E),1.317,c-Si,72,1,4.8,43.4,4.4,34,0.00026,-0.00052,1.0206,-0.0206,-0.17,0,-0.17,0,1.279,-0.14909,-8.95853,0.938,0.054228,-0.0099032,0.00072969,-0.000019074,1,-0.002438,0.0003103,-0.00001246,2.11E-07,-1.36E-09,3,1,-3.56,-0.075,0.998,0.002,4.75,3.14,1.159,-0.159
Siemens SP65 (12V),2001 (E),0.633,c-Si,36,1,4.5,21.4,3.95,16.5,0.00026,-0.00052,1.0206,-0.0206,-0.085,0,-0.085,0,1.279,-0.14909,-8.95853,0.938,0.054228,-0.0099032,0.00072969,-0.000019074,1,-0.002438,0.0003103,-0.00001246,2.11E-07,-1.36E-09,3,1,-3.56,-0.075,0.998,0.002,4.41,2.74,1.159,-0.159
Siemens SP70 (12V),1999 (E),0.633,c-Si,36,1,4.7,21.4,4.25,16.5,0.00026,-0.00052,1.0206,-0.0206,-0.085,0,-0.085,0,1.279,-0.14909,-8.95853,0.938,0.054228,-0.0099032,0.00072969,-0.000019074,1,-0.002438,0.0003103,-0.00001246,2.11E-07,-1.36E-09,3,1,-3.56,-0.075,0.998,0.002,4.65,2.99,1.159,-0.159
Siemens SP70 (6V),1999 (E),0.633,c-Si,18,2,9.4,10.7,8.5,8.25,0.00026,-0.00052,1.0206,-0.0206,-0.0425,0,-0.0425,0,1.279,-0.14909,-8.95853,0.938,0.054228,-0.0099032,0.00072969,-0.000019074,1,-0.002438,0.0003103,-0.00001246,2.11E-07,-1.36E-09,3,1,-3.56,-0.075,0.998,0.002,9.32,5.98,1.159,-0.159
Siemens SP75 (12V),1999 (E),0.633,c-Si,36,1,4.8,21.7,4.4,17,0.00026,-0.00052,1.0206,-0.0206,-0.085,0,-0.085,0,1.279,-0.14909,-8.95853,0.938,0.054228,-0.0099032,0.00072969,-0.000019074,1,-0.002438,0.0003103,-0.00001246,2.11E-07,-1.36E-09,3,1,-3.56,-0.075,0.998,0.002,4.77,3.12,1.159,-0.159
Siemens SP75 (6V),1999 (E),0.633,c-Si,18,2,9.6,10.9,8.8,8.5,0.00026,-0.00052,1.0206,-0.0206,-0.0425,0,-0.0425,0,1.279,-0.14909,-8.95853,0.938,0.054228,-0.0099032,0.00072969,-0.000019074,1,-0.002438,0.0003103,-0.00001246,2.11E-07,-1.36E-09,3,1,-3.56,-0.075,0.998,0.002,9.54,6.24,1.159,-0.159
Siemens SR100 (12V),1999 (E),0.89,c-Si,36,1,6.3,22,5.6,17.7,0.000396,-0.000214,0.987,0.013,-0.0905,0,-0.0949,0,1.415,0.04104,-6.75822,0.922,0.06865,-0.01267,0.001133,-0.00004029,1,-0.002438,0.0003103,-0.00001246,2.11E-07,-1.36E-09,3,1,-3.56,-0.075,0.991,0.009,6.24,3.85,1.142,-0.142
Siemens SR100 (6V),1999 (E),0.89,c-Si,18,2,12.6,11,11.2,8.85,0.000396,-0.000214,0.987,0.013,-0.0452,0,-0.0474,0,1.415,0.04104,-6.75822,0.922,0.06865,-0.01267,0.001133,-0.00004029,1,-0.002438,0.0003103,-0.00001246,2.11E-07,-1.36E-09,3,1,-3.56,-0.075,0.991,0.009,12.48,7.72,1.142,-0.142
Siemens SR50 (12V),1999 (E),0.465,c-Si,36,1,3.2,21.6,2.95,17,0.000396,-0.000214,0.987,0.013,-0.0905,0,-0.0949,0,1.415,0.04104,-6.75822,0.922,0.06865,-0.01267,0.001133,-0.00004029,1,-0.002438,0.0003103,-0.00001246,2.11E-07,-1.36E-09,3,1,-3.56,-0.075,0.991,0.009,3.17,2.11,1.142,-0.142
Siemens SR50 (6V),1999 (E),0.465,c-Si,18,2,6.4,10.8,5.9,8.5,0.000396,-0.000214,0.987,0.013,-0.0452,0,-0.0474,0,1.415,0.04104,-6.75822,0.922,0.06865,-0.01267,0.001133,-0.00004029,1,-0.002438,0.0003103,-0.00001246,2.11E-07,-1.36E-09,3,1,-3.56,-0.075,0.991,0.009,6.36,4.19,1.142,-0.142
Siemens SR90 (12V),1999 (E),0.89,c-Si,36,1,6.1,21.6,5.4,17,0.000396,-0.000214,0.987,0.013,-0.0905,0,-0.0949,0,1.415,0.04104,-6.75822,0.922,0.06865,-0.01267,0.001133,-0.00004029,1,-0.002438,0.0003103,-0.00001246,2.11E-07,-1.36E-09,3,1,-3.56,-0.075,0.991,0.009,6,3.73,1.142,-0.142
Siemens SR90 (6V),1999 (E),0.89,c-Si,18,2,12.2,10.8,10.8,8.5,0.000396,-0.000214,0.987,0.013,-0.0452,0,-0.0474,0,1.415,0.04104,-6.75822,0.922,0.06865,-0.01267,0.001133,-0.00004029,1,-0.002438,0.0003103,-0.00001246,2.11E-07,-1.36E-09,3,1,-3.56,-0.075,0.991,0.009,12,7.47,1.142,-0.142
SunPower SPR-200,2004(E),1.244,c-Si,72,1,5.4,47.75,5,40,0.000395,-0.000097,1.0168,-0.0168,-0.1382,0,-0.1398,0,1.221,0.291066,-4.735463,0.94045,0.052641,-0.0093897,0.00072623,-0.000019938,1,-0.002438,0.0003103,-0.00001246,2.11E-07,-1.36E-09,3,1,-3.56,-0.075,1.002,-0.002,5.38,3.69,1.0981,-0.0981
SunPower SPR-210,2004(E),1.244,c-Si,72,1,5.65,47.75,5.25,40,0.000395,-0.000097,1.0168,-0.0168,-0.1382,0,-0.1398,0,1.221,0.291066,-4.735463,0.94045,0.052641,-0.0093897,0.00072623,-0.000019938,1,-0.002438,0.0003103,-0.00001246,2.11E-07,-1.36E-09,3,1,-3.56,-0.075,1.002,-0.002,5.64,3.82,1.0981,-0.0981
SunPower SPR-90,2004(E),0.547,c-Si,32,1,5.5,21.2,5.1,17.7,0.000395,-0.000097,1.0168,-0.0168,-0.06142,0,-0.06213,0,1.221,0.291066,-4.735463,0.94045,0.052641,-0.0093897,0.00072623,-0.000019938,1,-0.002438,0.0003103,-0.00001246,2.11E-07,-1.36E-09,3,1,-3.56,-0.075,1.002,-0.002,5.41,3.79,1.0981,-0.0981
