Model,Vintage,Area,Material,NcellSer,NcellPar,Isco,Voco,Impo,Vmpo,aIsc,aImp,C0,C1,BVoco,mBVoc,BVmpo,mBVmp,DiodeFactor,C2,C3,A0,A1,A2,A3,A4,B0,B1,B2,B3,B4,B5,dTc,fd,a,b,C4,C5,Ixo,Ixxo,C6,C7,,
ASE-100-ATF/17 (100),1999 (E),0.828,EFG mc-Si,36,2,6.4,21.1,5.8,17.2,0.00078,0.0001,0.997,0.003,-0.076,0,-0.079,0,1.29,0.208062,-8.60848,0.936,0.053645,-0.0079402,0.00052228,-0.000013142,1,-0.002438,0.0003103,-0.00001246,2.11E-07,-1.36E-09,3,1,-3.47,-0.0594,0.983,0.017,6.32,4.12,1.131,-0.131
ASE-100-ATF/17 (85),1999 (E),0.828,EFG mc-Si,36,2,5.6,20.7,5.1,16.8,0.00078,0.0001,0.997,0.003,-0.076,0,-0.079,0,1.29,0.208062,-8.60848,0.936,0.053645,-0.0079402,0.00052228,-0.000013142,1,-0.002438,0.0003103,-0.00001246,2.11E-07,-1.36E-09,3,1,-3.47,-0.0594,0.983,0.017,5.53,3.65,1.131,-0.131
ASE-100-ATF/17 (92),1999 (E),0.828,EFG mc-Si,36,2,6,20.8,5.4,17,0.00078,0.0001,0.997,0.003,-0.076,0,-0.079,0,1.29,0.208062,-8.60848,0.936,0.053645,-0.0079402,0.00052228,-0.000013142,1,-0.002438,0.0003103,-0.00001246,2.11E-07,-1.36E-09,3,1,-3.47,-0.0594,0.983,0.017,5.93,3.86,1.131,-0.131
ASE-100-ATF/34 (100),1999 (E),0.828,EFG mc-Si,72,1,3.2,42.2,2.9,34.4,0.00078,0.0001,0.997,0.003,-0.152,0,-0.158,0,1.29,0.208062,-8.60848,0.936,0.053645,-0.0079402,0.00052228,-0.000013142,1,-0.002438,0.0003103,-0.00001246,2.11E-07,-1.36E-09,3,1,-3.47,-0.0594,0.983,0.017,3.16,2.06,1.131,-0.131
ASE-100-ATF/34 (85),1999 (E),0.828,EFG mc-Si,36,2,2.8,41.4,2.5,33.6,0.00078,0.0001,0.997,0.003,-0.152,0,-0.158,0,1.29,0.208062,-8.60848,0.936,0.053645,-0.0079402,0.00052228,-0.000013142,1,-0.002438,0.0003103,-0.00001246,2.11E-07,-1.36E-09,3,1,-3.47,-0.0594,0.983,0.017,2.76,1.78,1.131,-0.131
ASE-100-ATF/34 (92),1999 (E),0.828,EFG mc-Si,72,1,3,41.6,2.7,34,0.00078,0.0001,0.997,0.003,-0.152,0,-0.158,0,1.29,0.208062,-8.60848,0.936,0.053645,-0.0079402,0.00052228,-0.000013142,1,-0.002438,0.0003103,-0.00001246,2.11E-07,-1.36E-09,3,1,-3.47,-0.0594,0.983,0.017,2.96,1.92,1.131,-0.131
ASE-300-DGF/17 (265),1999 (E),2.427,EFG mc-Si,36,6,17.3,20.7,15.8,16.8,0.00092,0.00036,0.994,0.006,-0.0756,0,-0.0793,0,1.288,0.006258,-7.69008,0.936,0.053645,-0.0079402,0.00052228,-0.000013142,1,-0.002438,0.0003103,-0.00001246,2.11E-07,-1.36E-09,2,1,-3.47,-0.0594,0.9843,0.0157,17.1,11.3,1.127,-0.127
ASE-300-DGF/17 (285),1999 (E),2.427,EFG mc-Si,36,6,18.4,20.8,16.8,17,0.00092,0.00036,0.994,0.006,-0.0756,0,-0.0793,0,1.288,0.006258,-7.69008,0.936,0.053645,-0.0079402,0.00052228,-0.000013142,1,-0.002438,0.0003103,-0.00001246,2.11E-07,-1.36E-09,2,1,-3.47,-0.0594,0.9843,0.0157,18.2,12,1.127,-0.127
ASE-300-DGF/17 (300),1999 (E),2.427,EFG mc-Si,36,6,19.1,21.1,17.4,17.2,0.00092,0.00036,0.994,0.006,-0.0756,0,-0.0793,0,1.288,0.006258,-7.69008,0.936,0.053645,-0.0079402,0.00052228,-0.000013142,1,-0.002438,0.0003103,-0.00001246,2.11E-07,-1.36E-09,2,1,-3.47,-0.0594,0.9843,0.0157,18.9,12.5,1.127,-0.127
ASE-300-DGF/50 (265),1999 (E),2.427,EFG mc-Si,108,2,5.8,62,5.3,50,0.00092,0.00036,0.994,0.006,-0.227,0,-0.238,0,1.288,0.006258,-7.69008,0.936,0.053645,-0.0079402,0.00052228,-0.000013142,1,-0.002438,0.0003103,-0.00001246,2.11E-07,-1.36E-09,2,1,-3.47,-0.0594,0.9843,0.0157,5.7,3.9,1.127,-0.127
ASE-300-DGF/50 (285),1999 (E),2.427,EFG mc-Si,108,2,6.2,62.5,5.6,50.5,0.00092,0.00036,0.994,0.006,-0.227,0,-0.238,0,1.288,0.006258,-7.69008,0.936,0.053645,-0.0079402,0.00052228,-0.000013142,1,-0.002438,0.0003103,-0.00001246,2.11E-07,-1.36E-09,2,1,-3.47,-0.0594,0.9843,0.0157,6.13,4.02,1.127,-0.127
ASE-300-DGF/50 (300),1999 (E),2.427,EFG mc-Si,108,2,6.5,63.3,5.9,51,0.00092,0.00036,0.994,0.006,-0.227,0,-0.238,0,1.288,0.006258,-7.69008,0.936,0.053645,-0.0079402,0.00052228,-0.000013142,1,-0.002438,0.0003103,-0.00001246,2.11E-07,-1.36E-09,2,1,-3.47,-0.0594,0.9843,0.0157,6.43,4.24,1.127,-0.127
ASE-50-ATF/17 (45),1999 (E),0.435,EFG mc-Si,36,1,2.9,20.7,2.65,17,0.00078,0.0001,0.997,0.003,-0.076,0,-0.079,0,1.29,0.208062,-8.60848,0.936,0.053645,-0.0079402,0.00052228,-0.000013142,1,-0.002438,0.0003103,-0.00001246,2.11E-07,-1.36E-09,3,1,-3.47,-0.0594,0.983,0.017,2.86,1.85,1.131,-0.131
ASE-50-ATF/17 (50),1999 (E),0.435,EFG mc-Si,36,1,3.2,21.1,2.9,17.2,0.00078,0.0001,0.997,0.003,-0.076,0,-0.079,0,1.29,0.208062,-8.60848,0.936,0.053645,-0.0079402,0.00052228,-0.000013142,1,-0.002438,0.0003103,-0.00001246,2.11E-07,-1.36E-09,3,1,-3.47,-0.0594,0.983,0.017,3.16,2.04,1.131,-0.131
Sanyo HIP-190BA2,2004 (E),1.15,HIT-Si,96,1,3.75,67.5,3.47,54.8,0.000368,-0.000118,0.9873,0.0127,-0.1888,0,-0.1751,0,1.17,0.012965,-9.842688,0.92619,0.062356,-0.010119,0.00067031,-0.000016221,1,-0.002438,0.0003103,-0.00001246,2.11E-07,-1.36E-09,3,1,-3.56,-0.075,0.9916,0.0084,3.745,2.565,1.0932,-0.0932
Sanyo HIP-63S1 (63W),2004 (E),0.465,HIT-Si,32,1,3.75,22.6,3.49,18.1,0.000368,-0.000118,0.9873,0.0127,-0.1888,0,-0.1751,0,1.17,0.012965,-9.842688,0.92619,0.062356,-0.010119,0.00067031,-0.000016221,1,-0.002438,0.0003103,-0.00001246,2.11E-07,-1.36E-09,3,1,-3.56,-0.075,0.9916,0.0084,3.745,2.58,1.0932,-0.0932
Sanyo HIP-6751B,2002 (E),1.148,HIT-Si,96,1,3.63,64.9,3.25,51.4,0.000286,-0.000149,0.996,0.004,-0.195,0,-0.164,0,1.402,0.033006,-6.00128,0.921,0.068943,-0.012233,0.0010257,-0.000031945,1,-0.002438,0.0003103,-0.00001246,2.11E-07,-1.36E-09,3,1,-3.56,-0.075,0.994,0.006,3.57,2.3,1.092,-0.092
Sanyo HIP-HO97,2002 (E),1.148,HIT-Si,96,1,3.64,65.7,3.31,52.9,0.00044,0.00007,0.947,0.053,-0.187,0,-0.168,0,1.332,-0.56183,-19.1594,0.921,0.068943,-0.012233,0.0010257,-0.000031945,1,-0.002438,0.0003103,-0.00001246,2.11E-07,-1.36E-09,3,1,-3.56,-0.075,0.989,0.011,3.52,2.44,1.069,-0.069
Sanyo HIP-J54BA2 (180W),2004 (E),1.15,HIT-Si,96,1,3.65,66.4,3.33,54,0.000368,-0.000118,0.9873,0.0127,-0.1888,0,-0.1751,0,1.17,0.012965,-9.842688,0.92619,0.062356,-0.010119,0.00067031,-0.000016221,1,-0.002438,0.0003103,-0.00001246,2.11E-07,-1.36E-09,3,1,-3.56,-0.075,0.9916,0.0084,3.646,2.46,1.0932,-0.0932
Kyocera KC120-1,1999 (E),0.929,mc-Si,36,1,7.45,21.5,7.1,16.9,0.00044,-0.00061,1.01,-0.01,-0.089,0,-0.091,0,1.36,0.02894,-5.9791,0.924,0.06749,-0.012549,0.0010049,-0.000028797,1,-0.002438,0.0003103,-0.00001246,2.11E-07,-1.36E-09,3,1,-3.56,-0.075,0.987,0.013,7.44,5.3,1.155,-0.155
Kyocera KC150G,2002 (E),1.277,mc-Si,48,1,7.26,28.5,6.67,22.5,0.00042,-0.0004,1.006,-0.006,-0.112,0,-0.116,0,1.217,-0.06999,-7.84779,0.9269,0.067604,-0.014216,0.0011039,-0.000029209,1,-0.002438,0.0003103,-0.00001246,2.11E-07,-1.36E-09,3,1,-3.56,-0.075,0.995,0.005,7.16,4.82,1.155,-0.155
Kyocera KC158G,2003 (E),1.277,mc-Si,48,1,7.58,28.9,6.82,23.2,0.00042,-0.0004,1.006,-0.006,-0.112,0,-0.116,0,1.217,-0.06999,-7.84779,0.9269,0.067604,-0.014216,0.0011039,-0.000029209,1,-0.002438,0.0003103,-0.00001246,2.11E-07,-1.36E-09,3,1,-3.56,-0.075,0.995,0.005,7.44,4.85,1.155,-0.155
Kyocera KC60,1999 (E),0.489,mc-Si,36,1,3.73,21.5,3.55,16.9,0.00044,-0.00061,1.01,-0.01,-0.089,0,-0.091,0,1.36,0.02894,-5.9791,0.924,0.06749,-0.012549,0.0010049,-0.000028797,1,-0.002438,0.0003103,-0.00001246,2.11E-07,-1.36E-09,3,1,-3.56,-0.075,0.987,0.013,3.68,2.65,1.155,-0.155
Kyocera KC80,1999 (E),0.636,mc-Si,36,1,4.97,21.5,4.73,16.9,0.00044,-0.00061,1.01,-0.01,-0.089,0,-0.091,0,1.36,0.02894,-5.9791,0.924,0.06749,-0.012549,0.0010049,-0.000028797,1,-0.002438,0.0003103,-0.00001246,2.11E-07,-1.36E-09,3,1,-3.56,-0.075,0.987,0.013,4.93,3.48,1.155,-0.155
Photowatt PW1000 (100W/12V),2001 (E),0.898,mc-Si,36,2,6,21.6,5.8,17.2,0.00045,-0.00015,0.965,0.035,-0.085,0,-0.086,0,1.489,-0.4647,-18.615,0.924,0.06971,-0.01455,0.001221,-0.00003566,1,-0.002438,0.0003103,-0.00001246,2.11E-07,-1.36E-09,3,1,-3.56,-0.075,0.983,0.017,5.98,4.4,1.085,-0.085
Photowatt PW1000 (100W/24V),2001 (E),0.898,mc-Si,72,1,3,43.2,2.9,34.4,0.00045,-0.00015,0.965,0.035,-0.171,0,-0.172,0,1.489,-0.4647,-18.615,0.924,0.06971,-0.01455,0.001221,-0.00003566,1,-0.002438,0.0003103,-0.00001246,2.11E-07,-1.36E-09,3,1,-3.56,-0.075,0.983,0.017,2.99,2.2,1.085,-0.085
Photowatt PW1000 (105W/12V),2001 (E),0.898,mc-Si,36,2,6.3,21.6,6.1,17.3,0.00045,-0.00015,0.965,0.035,-0.085,0,-0.086,0,1.489,-0.4647,-18.615,0.924,0.06971,-0.01455,0.001221,-0.00003566,1,-0.002438,0.0003103,-0.00001246,2.11E-07,-1.36E-09,3,1,-3.56,-0.075,0.983,0.017,6.28,4.63,1.085,-0.085
Photowatt PW1000 (105W/24V),2001 (E),0.898,mc-Si,72,1,3.15,43.2,3.05,34.6,0.00045,-0.00015,0.965,0.035,-0.171,0,-0.172,0,1.489,-0.4647,-18.615,0.924,0.06971,-0.01455,0.001221,-0.00003566,1,-0.002438,0.0003103,-0.00001246,2.11E-07,-1.36E-09,3,1,-3.56,-0.075,0.983,0.017,3.14,2.31,1.085,-0.085
Photowatt PW1000 (90W/12V),2001 (E),0.898,mc-Si,36,2,5.6,21.5,5.4,16.8,0.00045,-0.00015,0.965,0.035,-0.085,0,-0.086,0,1.489,-0.4647,-18.615,0.924,0.06971,-0.01455,0.001221,-0.00003566,1,-0.002438,0.0003103,-0.00001246,2.11E-07,-1.36E-09,3,1,-3.56,-0.075,0.983,0.017,5.58,4.09,1.085,-0.085
Photowatt PW1000 (90W/24V),2001 (E),0.898,mc-Si,72,1,2.8,43,2.7,33.6,0.00045,-0.00015,0.965,0.035,-0.171,0,-0.172,0,1.489,-0.4647,-18.615,0.924,0.06971,-0.01455,0.001221,-0.00003566,1,-0.002438,0.0003103,-0.00001246,2.11E-07,-1.36E-09,3,1,-3.56,-0.075,0.983,0.017,2.79,2.05,1.085,-0.085
Photowatt PW1000 (95W/12V),2001 (E),0.898,mc-Si,36,2,5.8,21.6,5.6,17,0.00045,-0.00015,0.965,0.035,-0.085,0,-0.086,0,1.489,-0.4647,-18.615,0.924,0.06971,-0.01455,0.001221,-0.00003566,1,-0.002438,0.0003103,-0.00001246,2.11E-07,-1.36E-09,3,1,-3.56,-0.075,0.983,0.017,5.78,4.25,1.085,-0.085
Photowatt PW1000 (95W/24V),2001 (E),0.898,mc-Si,72,1,2.91,43.2,2.8,34,0.00045,-0.00015,0.965,0.035,-0.171,0,-0.172,0,1.489,-0.4647,-18.615,0.924,0.06971,-0.01455,0.001221,-0.00003566,1,-0.002438,0.0003103,-0.00001246,2.11E-07,-1.36E-09,3,1,-3.56,-0.075,0.983,0.017,2.9,2.12,1.085,-0.085
Photowatt PWX500 (42W),2000 (E),0.45,mc-Si,36,1,2.7,21.3,2.5,16.8,0.00062,0.000097,0.994,0.006,-0.0785,0,-0.0791,0,1.27,-0.1593,-12.3925,0.924,0.06971,-0.01455,0.001221,-0.00003566,1,-0.002438,0.0003103,-0.00001246,2.11E-07,-1.36E-09,3,1,-3.47,-0.0594,0.99,0.01,2.64,1.86,1.133,-0.133
Photowatt PWX500 (47W),2000 (E),0.45,mc-Si,36,1,3.1,21.6,2.8,17,0.00062,0.000097,0.994,0.006,-0.0785,0,-0.0791,0,1.27,-0.1593,-12.3925,0.924,0.06971,-0.01455,0.001221,-0.00003566,1,-0.002438,0.0003103,-0.00001246,2.11E-07,-1.36E-09,3,1,-3.47,-0.0594,0.99,0.01,3.05,1.99,1.133,-0.133
Photowatt PWX500 (52W),2000 (E),0.45,mc-Si,36,1,3.3,21.9,3,17.3,0.00062,0.000097,0.994,0.006,-0.0785,0,-0.0791,0,1.27,-0.1593,-12.3925,0.924,0.06971,-0.01455,0.001221,-0.00003566,1,-0.002438,0.0003103,-0.00001246,2.11E-07,-1.36E-09,3,1,-3.47,-0.0594,0.99,0.01,3.25,2.15,1.133,-0.133
Photowatt PWX750 (70W),2000 (E),0.707,mc-Si,36,1,4.5,21.3,4.2,16.7,0.00062,0.000097,0.994,0.006,-0.0785,0,-0.0791,0,1.27,-0.1593,-12.3925,0.924,0.06971,-0.01455,0.001221,-0.00003566,1,-0.002438,0.0003103,-0.00001246,2.11E-07,-1.36E-09,3,1,-3.47,-0.0594,0.99,0.01,4.42,3.14,1.133,-0.133
Photowatt PWX750 (75W),2000 (E),0.707,mc-Si,36,1,4.7,21.6,4.4,17,0.00062,0.000097,0.994,0.006,-0.0785,0,-0.0791,0,1.27,-0.1593,-12.3925,0.924,0.06971,-0.01455,0.001221,-0.00003566,1,-0.002438,0.0003103,-0.00001246,2.11E-07,-1.36E-09,3,1,-3.47,-0.0594,0.99,0.01,4.67,3.21,1.133,-0.133
Photowatt PWX750 (80W),2000 (E),0.707,mc-Si,36,1,5,21.9,4.6,17.3,0.00062,0.000097,0.994,0.006,-0.0785,0,-0.0791,0,1.27,-0.1593,-12.3925,0.924,0.06971,-0.01455,0.001221,-0.00003566,1,-0.002438,0.0003103,-0.00001246,2.11E-07,-1.36E-09,3,1,-3.47,-0.0594,0.99,0.01,4.91,3.36,1.133,-0.133
Schott SAPC 165,2002 (E),1.301,mc-Si,72,1,5.46,43.1,4.77,34.6,0.00079,-0.00001,0.988,0.012,-0.171,0,-0.178,0,1.486,0.20456,-5.4788,0.938,0.052543,-0.0083131,0.00057776,-0.00001537,1,-0.002438,0.0003103,-0.00001246,2.11E-07,-1.36E-09,3,1,-3.56,-0.075,0.983,0.017,5.33,3.27,1.107,-0.107
Sharp NEH120E1,2002 (E),0.96,mc-Si,54,1,5.3,32.3,4.67,25.7,0.0012,0.00007,1.022,-0.022,-0.125,0,-0.136,0,1.363,-0.24868,-11.2654,0.918,0.075932,-0.016109,0.0013961,-0.000042546,1,-0.002438,0.0003103,-0.00001246,2.11E-07,-1.36E-09,3,1,-3.56,-0.075,0.986,0.014,5.19,3.24,1.125,-0.125
Solarex MSX-110,2000 (E),1.098,mc-Si,72,1,3.69,41.2,3.34,32.9,0.000512,-0.000148,0.991,0.009,-0.162,0,-0.164,0,1.34,0.12239,-7.07424,0.913,0.079168,-0.015975,0.0013057,-0.000037247,1,-0.002438,0.0003103,-0.00001246,2.11E-07,-1.36E-09,3,1,-3.56,-0.075,0.9856,0.0144,3.59,2.41,1.116,-0.116
Solarex MSX-120,2000 (E),1.098,mc-Si,72,1,3.87,42.1,3.56,33.7,0.000512,-0.000148,0.991,0.009,-0.162,0,-0.164,0,1.34,0.12239,-7.07424,0.913,0.079168,-0.015975,0.0013057,-0.000037247,1,-0.002438,0.0003103,-0.00001246,2.11E-07,-1.36E-09,3,1,-3.56,-0.075,0.9856,0.0144,3.76,2.64,1.116,-0.116
Solarex MSX-240,2000 (E),2.12,mc-Si,144,1,3.8,84.2,3.5,68.4,0.000512,-0.000148,0.991,0.009,-0.324,0,-0.328,0,1.34,0.12239,-7.07424,0.913,0.079168,-0.015975,0.0013057,-0.000037247,1,-0.002438,0.0003103,-0.00001246,2.11E-07,-1.36E-09,3,1,-3.56,-0.075,0.9856,0.0144,3.72,2.53,1.116,-0.116
Solarex MSX-60,1999 (E),0.556,mc-Si,36,1,3.8,21.1,3.5,17.1,0.000512,-0.000148,0.991,0.009,-0.0808,0,-0.0822,0,1.34,0.12239,-7.07424,0.913,0.079168,-0.015975,0.0013057,-0.000037247,1,-0.002438,0.0003103,-0.00001246,2.11E-07,-1.36E-09,3,1,-3.56,-0.075,0.9856,0.0144,3.71,2.56,1.116,-0.116
Solarex MSX-64,1999 (E),0.556,mc-Si,36,1,4,21.3,3.66,17.5,0.000512,-0.000148,0.991,0.009,-0.0808,0,-0.0822,0,1.34,0.12239,-7.07424,0.913,0.079168,-0.015975,0.0013057,-0.000037247,1,-0.002438,0.0003103,-0.00001246,2.11E-07,-1.36E-09,3,1,-3.56,-0.075,0.9856,0.0144,3.92,2.61,1.116,-0.116
Solarex MSX-77,1999 (E),0.732,mc-Si,36,1,5,21,4.56,16.9,0.000512,-0.000148,0.991,0.009,-0.0808,0,-0.0822,0,1.34,0.12239,-7.07424,0.913,0.079168,-0.015975,0.0013057,-0.000037247,1,-0.002438,0.0003103,-0.00001246,2.11E-07,-1.36E-09,3,1,-3.56,-0.075,0.9856,0.0144,4.88,3.29,1.116,-0.116
Solarex MSX-83,1999 (E),0.732,mc-Si,36,1,5.27,21.2,4.85,17.1,0.000512,-0.000148,0.991,0.009,-0.0808,0,-0.0822,0,1.34,0.12239,-7.07424,0.913,0.079168,-0.015975,0.0013057,-0.000037247,1,-0.002438,0.0003103,-0.00001246,2.11E-07,-1.36E-09,3,1,-3.56,-0.075,0.9856,0.0144,5.135,3.558,1.116,-0.116
AstroPower APX-110-SL,2002 (E),1.485,Si-Film,30,1,10.5,16,9,12.2,0.000873,0.000268,0.93,0.07,-0.0811,0,-0.0767,0,1.937,-0.001158,-10.25767,0.9337,0.0638,-0.014606,0.0011831,-0.000031918,1,-0.002438,0.0003103,-0.00001246,2.11E-07,-1.36E-09,3,1,-3.56,-0.075,0.967,0.033,10.1,6.08,1.077,-0.077
AstroPower APX-120,2002 (E),1.72,Si-Film,36,1,9.7,18.9,8.1,14.8,0.00079,0.00003,0.924,0.076,-0.091,0,-0.088,0,1.82,-0.04496,-9.6023,0.928,0.073144,-0.019427,0.0017513,-0.000051288,1,-0.002438,0.0003103,-0.00001246,2.11E-07,-1.36E-09,3,1,-3.56,-0.075,0.963,0.037,9.24,5.33,1.082,-0.082
AstroPower APX-130,2002 (E),1.72,Si-Film,36,1,9.9,19.1,8.5,15.3,0.00079,0.00003,0.924,0.076,-0.091,0,-0.088,0,1.82,-0.04496,-9.6023,0.928,0.073144,-0.019427,0.0017513,-0.000051288,1,-0.002438,0.0003103,-0.00001246,2.11E-07,-1.36E-09,3,1,-3.56,-0.075,0.963,0.037,9.54,5.6,1.082,-0.082
AstroPower APX-140,2002 (E),1.72,Si-Film,36,1,10.1,19.4,8.9,15.7,0.00079,0.00003,0.924,0.076,-0.091,0,-0.088,0,1.82,-0.04496,-9.6023,0.928,0.073144,-0.019427,0.0017513,-0.000051288,1,-0.002438,0.0003103,-0.00001246,2.11E-07,-1.36E-09,3,1,-3.56,-0.075,0.963,0.037,9.91,5.84,1.082,-0.082
AstroPower APX-40,2002 (E),0.657,Si-Film,39,1,3,20.3,2.5,16,0.000552,0.000216,0.951,0.049,-0.098,0,-0.093,0,1.851,0.37957,-6.5492,0.928,0.073144,-0.019427,0.0017513,-0.000051288,1,-0.002438,0.0003103,-0.00001246,2.11E-07,-1.36E-09,3,1,-3.56,-0.075,0.992,0.008,2.82,1.7,1.032,-0.032
AstroPower APX-45,2002 (E),0.657,Si-Film,39,1,3.3,20.5,2.7,16.7,0.000552,0.000216,0.951,0.049,-0.098,0,-0.093,0,1.851,0.37957,-6.5492,0.928,0.073144,-0.019427,0.0017513,-0.000051288,1,-0.002438,0.0003103,-0.00001246,2.11E-07,-1.36E-09,3,1,-3.56,-0.075,0.992,0.008,3.16,1.7,1.032,-0.032
AstroPower APX-50,2002 (E),0.657,Si-Film,39,1,3.4,20.7,3,16.8,0.000552,0.000216,0.951,0.049,-0.098,0,-0.093,0,1.851,0.37957,-6.5492,0.928,0.073144,-0.019427,0.0017513,-0.000051288,1,-0.002438,0.0003103,-0.00001246,2.11E-07,-1.36E-09,3,1,-3.56,-0.075,0.992,0.008,3.38,1.9,1.032,-0.032
AstroPower APX-65,2002 (E),0.955,Si-Film,39,1,4.7,20.5,4,16.3,0.00082,0.00027,0.948,0.052,-0.107,0,-0.097,0,1.78,0.20414,-6.6826,0.928,0.073144,-0.019427,0.0017513,-0.000051288,1,-0.002438,0.0003103,-0.00001246,2.11E-07,-1.36E-09,3,1,-3.56,-0.075,0.97,0.03,4.5,2.64,1.069,-0.069
AstroPower APX-75,2002 (E),0.955,Si-Film,39,1,4.8,21,4.4,17,0.00082,0.00027,0.948,0.052,-0.107,0,-0.097,0,1.78,0.20414,-6.6826,0.928,0.073144,-0.019427,0.0017513,-0.000051288,1,-0.002438,0.0003103,-0.00001246,2.11E-07,-1.36E-09,3,1,-3.56,-0.075,0.97,0.03,4.68,2.99,1.069,-0.069
AstroPower APX-75-SC,2002 (E),1.012,Si-Film,21,1,9.7,11,8.6,8.7,0.00082,0.00027,0.948,0.052,-0.057,0,-0.052,0,1.78,0.20414,-6.6826,0.928,0.073144,-0.019427,0.0017513,-0.000051288,1,-0.002438,0.0003103,-0.00001246,2.11E-07,-1.36E-09,3,1,-3.56,-0.075,0.97,0.03,9.52,5.68,1.069,-0.069
AstroPower APX-90,1999 (E),1.078,Si-Film,40,1,5.8,21.9,5.2,17.3,0.00076,0.00003,0.952,0.048,-0.096,0,-0.094,0,1.6,0.090503,-7.54082,0.928,0.073144,-0.019427,0.0017513,-0.000051288,1,-0.002438,0.0003103,-0.00001246,2.11E-07,-1.36E-09,3,1,-3.56,-0.075,0.967,0.033,5.71,3.55,1.12,-0.12
